Id,rating,
1,4,
2,4,
3,4,
4,3,
5,4,
6,5,
7,1,
8,4,
9,3,
10,4,
11,4,
12,4,
13,4,
14,3,
15,3,
16,4,
17,4,
18,4,
19,4,
20,4,
21,4,
22,4,
23,3,
24,4,
25,4,
26,4,
27,4,
28,4,
29,2,
30,3,
31,4,
32,4,
33,4,
34,4,
35,1,
36,3,
37,3,
38,2,
39,4,
40,4,
41,4,
42,5,
43,5,
44,4,
45,4,
46,4,
47,4,
48,3,
49,4,
50,3,
51,4,
52,4,
53,5,
54,5,
55,3,
56,4,
57,5,
58,4,
59,4,
60,3,
61,4,
62,5,
63,4,
64,4,
65,5,
66,4,
67,4,
68,5,
69,4,
70,4,
71,4,
72,3,
73,3,
74,4,
75,4,
76,4,
77,5,
78,4,
79,4,
80,4,
81,4,
82,3,
83,4,
84,4,
85,5,
86,3,
87,3,
88,3,
89,4,
90,4,
91,4,
92,4,
93,4,
94,4,
95,4,
96,5,
97,4,
98,4,
99,5,
100,4,
101,5,
102,4,
103,4,
104,4,
105,4,
106,3,
107,4,
108,4,
109,4,
110,3,
111,3,
112,4,
113,4,
114,4,
115,4,
116,4,
117,4,
118,3,
119,4,
120,4,
121,4,
122,5,
123,3,
124,5,
125,4,
126,4,
127,4,
128,4,
129,3,
130,4,
131,3,
132,4,
133,3,
134,3,
135,4,
136,3,
137,5,
138,4,
139,4,
140,4,
141,3,
142,4,
143,4,
144,4,
145,4,
146,5,
147,4,
148,3,
149,3,
150,1,
151,4,
152,4,
153,4,
154,4,
155,4,
156,4,
157,5,
158,4,
159,4,
160,3,
161,5,
162,4,
163,4,
164,4,
165,4,
166,5,
167,4,
168,4,
169,4,
170,4,
171,3,
172,3,
173,4,
174,4,
175,4,
176,4,
177,4,
178,3,
179,5,
180,5,
181,4,
182,3,
183,3,
184,4,
185,3,
186,4,
187,4,
188,4,
189,4,
190,4,
191,4,
192,4,
193,4,
194,4,
195,3,
196,5,
197,4,
198,3,
199,4,
200,3,
201,4,
202,4,
203,3,
204,5,
205,4,
206,3,
207,4,
208,3,
209,4,
210,4,
211,4,
212,4,
213,3,
214,3,
215,4,
216,4,
217,3,
218,4,
219,4,
220,4,
221,3,
222,4,
223,5,
224,4,
225,4,
226,3,
227,4,
228,3,
229,3,
230,5,
231,4,
232,4,
233,3,
234,3,
235,4,
236,4,
237,4,
238,4,
239,4,
240,4,
241,4,
242,4,
243,3,
244,4,
245,3,
246,4,
247,4,
248,3,
249,5,
250,3,
251,4,
252,4,
253,3,
254,3,
255,4,
256,4,
257,4,
258,4,
259,4,
260,3,
261,4,
262,4,
263,5,
264,5,
265,5,
266,3,
267,4,
268,4,
269,4,
270,4,
271,4,
272,4,
273,3,
274,4,
275,3,
276,4,
277,4,
278,4,
279,2,
280,5,
281,4,
282,5,
283,3,
284,3,
285,4,
286,4,
287,4,
288,4,
289,3,
290,5,
291,4,
292,5,
293,4,
294,4,
295,4,
296,3,
297,4,
298,4,
