Id,rating
1,5
2,4
3,5
4,3
5,4
6,5
7,1
8,5
9,3
10,4
11,4
12,4
13,4
14,3
15,3
16,5
17,4
18,4
19,5
20,4
21,4
22,5
23,3
24,4
25,4
26,4
27,3
28,4
29,3
30,3
31,5
32,4
33,4
34,4
35,5
36,3
37,3
38,1
39,4
40,4
41,5
42,5
43,5
44,4
45,4
46,4
47,4
48,4
49,4
50,3
51,4
52,5
53,4
54,5
55,3
56,4
57,5
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,5
66,4
67,4
68,5
69,5
70,5
71,4
72,3
73,2
74,4
75,5
76,4
77,5
78,4
79,4
80,4
81,4
82,3
83,4
84,4
85,5
86,4
87,3
88,3
89,4
90,4
91,4
92,4
93,5
94,4
95,3
96,4
97,3
98,3
99,5
100,4
101,5
102,4
103,4
104,4
105,4
106,3
107,4
108,4
109,4
110,4
111,3
112,4
113,4
114,5
115,5
116,4
117,3
118,3
119,4
120,5
121,4
122,5
123,4
124,4
125,4
126,4
127,4
128,5
129,3
130,4
131,4
132,4
133,3
134,3
135,5
136,3
137,5
138,5
139,4
140,4
141,3
142,5
143,5
144,4
145,5
146,5
147,3
148,1
149,3
150,1
151,4
152,4
153,4
154,4
155,5
156,3
157,4
158,5
159,3
160,4
161,5
162,5
163,4
164,4
165,4
166,4
167,4
168,4
169,5
170,4
171,3
172,3
173,3
174,4
175,4
176,4
177,5
178,3
179,5
180,5
181,4
182,4
183,3
184,4
185,3
186,4
187,5
188,4
189,3
190,4
191,4
192,4
193,4
194,4
195,4
196,5
197,4
198,4
199,4
200,4
201,4
202,5
203,4
204,5
205,5
206,3
207,4
208,2
209,4
210,4
211,5
212,4
213,3
214,4
215,4
216,4
217,3
218,5
219,4
220,4
221,3
222,4
223,5
224,4
225,4
226,3
227,4
228,3
229,3
230,4
231,3
232,5
233,3
234,4
235,3
236,4
237,4
238,3
239,4
240,4
241,4
242,4
243,4
244,5
245,3
246,4
247,4
248,3
249,5
250,3
251,5
252,5
253,3
254,3
255,4
256,4
257,4
258,4
259,4
260,4
261,4
262,4
263,5
264,5
265,5
266,3
267,4
268,3
269,4
270,4
271,4
272,4
273,3
274,4
275,3
276,4
277,4
278,4
279,3
280,4
281,4
282,4
283,3
284,3
285,3
286,4
287,4
288,4
289,1
290,5
291,4
292,5
293,4
294,4
295,5
296,4
297,4
298,4
299,3
300,4
301,5
302,1
303,2
304,4
305,4
306,4
307,1
308,3
309,5
310,4
311,4
312,4
313,3
314,4
315,4
316,4
317,4
318,4
319,4
320,4
321,5
322,4
323,5
324,4
325,4
326,4
327,5
328,4
329,4
330,5
331,5
332,3
333,4
334,4
335,4
336,3
337,3
338,4
339,4
340,5
341,5
342,3
